,day,depot,list_plants,list_pickups,list_dropoffs,total_jobs,total_distance,routing_sequence,worst_edge_pickup,worst_edge_distance,worst_edge_dropoff,edges,distance_uptodate
74,16714,Neuherberg,['Neuherberg'],[],['11408_9000165786'],0,0,[],,,0,0,True
75,16715,Neuherberg,['Neuherberg'],[],"['10650_9000165006', '11039_9000165144', '11266_9000162346', '11457_9000162114', '19167_9000163143', '19232_9000164498', '20298_9000164542', '20492_9000164765']",0,0,[],,,0,0,True
76,16716,Neuherberg,['Neuherberg'],[],"['10193_9000164735', '11263_9000165671', '11427_9000160514', '11452_9000166512', '11461_9000165433', '20536_9000164774', '20593_9000162038', '20612_9000163814']",0,0,[],,,0,0,True
77,16717,Neuherberg,['Neuherberg'],[],"['9019_9000165659', '10293_9000166565', '10515_9000165238', '10844_9000166948', '10892_9000166212', '11054_9000166731', '11055_9000165477', '11109_9000163215', '11255_9000168037', '11328_9000165491', '11409_9000167033', '11542_9000164937', '19045_9000163647', '19281_9000163656', '20014_9000164006', '20187_9000163374', '20264_9000167006', '20471_9000166457', '29150_9000163378', '20331_9000166567']",0,0,[],,,0,0,True
78,16718,Neuherberg,['Neuherberg'],[],"['9330_9000166872', '10116_9000167747', '10378_9000166829', '10737_9000166816', '10789_9000166822', '10913_9000168079', '10971_9000167597', '11215_9000167325', '11274_9000163285', '11420_9000167551', '11447_9000163690', '11569_9000166420', '19211_9000167848', '20067_9000167795', '20102_9000167337', '50105_9000166573', '73048_9000167316']",0,0,[],,,0,0,True
79,16719,Neuherberg,['Neuherberg'],[],"['10660_9000168664', '10831_9000167958', '11214_9000168059', '11249_9000168696', '11273_9000167689', '11277_9000168109', '11302_9000169436', '11435_9000168940', '11480_9000169882', '11504_9000167947', '19065_9000168478', '19136_9000168313', '19182_9000167868', '19246_9000168473', '19310_9000167903', '20039_9000168779', '29018_9000168674', '29117_9000168686']",0,0,[],,,0,0,True
80,16720,Neuherberg,['Neuherberg'],['11461_9000165433'],"['10137_9000170113', '11194_9000168557', '19020_9000169295', '19091_9000163457', '19253_9000169514', '20183_9000169555', '29043_9000169610', '29068_9000170339', '29094_9000168933', '29135_9000170229', '29215_9000169537', '29216_9000168990']",0,0,[],,,0,0,True
81,16721,Neuherberg,['Neuherberg'],[],"['10207_9000167898', '10658_9000170269', '11184_9000170491', '11270_9000170443', '19059_9000169670', '20334_9000170644', '50049_9000169481']",0,0,[],,,0,0,True
82,16722,Neuherberg,['Neuherberg'],"['10515_9000165238', '10789_9000166822', '11263_9000165671', '11328_9000165491', '11542_9000164937', '19293_9000164033', '19318_9000163554']","['9608_9000171564', '10208_9000169511', '10217_9000171117', '10382_9000168270', '10518_9000171047', '10635_9000170482', '10810_9000171669', '11185_9000171035', '11332_9000171671', '11521_9000172630', '19161_9000171656', '20088_9000170753', '20126_9000171679', '20253_9000163275', '20339_9000171221', '29193_9000170631', '29257_9000157396', '50088_9000170408', '10915_9000171818', '50024_9000170805']",0,0,[],,,0,0,True
83,16723,Neuherberg,['Neuherberg'],['20492_9000164765'],"['10349_9000171436', '11121_9000172504', '11328_9000171605', '19123_9000172162', '19145_9000172660', '19177_9000172164', '19267_9000172416', '19932_9000172046', '20025_9000172809', '29086_9000171363']",0,0,[],,,0,0,True
84,16724,Neuherberg,['Neuherberg'],[],"['10740_9000173137', '10970_9000173164', '19250_9000173211', '19285_9000173825', '29136_9000173892', '29202_9000172412']",0,0,[],,,0,0,True
85,16725,Neuherberg,['Neuherberg'],"['9330_9000166872', '11427_9000160514', '19232_9000164498', '29164_9000144300']","['10237_9000175036', '11229_9000174387', '11271_9000173958', '11323_9000172611', '11460_9000172880', '19323_9000173538', '20035_9000174775']",0,0,[],,,0,0,True
